AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,1015499;anonymous;331;0,0001783956;0,5913859;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.3190;12,0348;-587,1943
0,1015499;anonymous;332;0,0002495345;0,6487998;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.3339;12,03505;-586,5455
0,1015499;anonymous;333;0,0002973868;0,8223366;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.3472;12,03535;-585,7231
0,1015499;anonymous;334;0,0004633264;1,125294;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.3605;12,03581;-584,5978
0,1015499;anonymous;335;0,0004156317;1,451797;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.3753;12,03622;-583,1461
0,1015499;anonymous;336;0,0002595793;1,405613;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4025;12,03648;-581,7404
0,1015499;anonymous;337;0,0001822568;1,289101;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4163;12,03667;-580,4513
0,1015499;anonymous;338;0,0001223733;1,250943;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4302;12,03679;-579,2004
0,1015499;anonymous;339;6,685749E-05;1,253972;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4440;12,03685;-577,9464
0,1015499;anonymous;340;5,319641E-05;1,306968;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4584;12,03691;-576,6395
0,1015499;anonymous;341;0,0003305447;1,639268;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.4870;12,03724;-575,0002
0,1015499;anonymous;342;7,862211E-05;1,557106;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5003;12,03732;-573,4431
0,1015499;anonymous;343;6,197673E-05;1,480117;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5150;12,03738;-571,963
0,1015499;anonymous;344;0,0003971942;1,241496;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5273;12,03778;-570,7214
0,1015499;anonymous;345;0,000473577;0,9534078;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5425;12,03825;-569,768
0,1015499;anonymous;346;0,0001576984;1,011799;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5591;12,03841;-568,7562
0,1015499;anonymous;347;0,0003438806;1,274036;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5842;12,03875;-567,4822
0,1015499;anonymous;348;0,000283536;1,527824;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.5981;12,03903;-565,9543
0,1015499;anonymous;349;0,0001391698;1,613774;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6114;12,03917;-564,3406
0,1015499;anonymous;350;0,0002640221;1,552346;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6251;12,03944;-562,7882
0,1015499;anonymous;351;0,0001293983;1,521261;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6421;12,03957;-561,267
0,1015499;anonymous;352;0,0001959772;1,522692;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6671;12,03976;-559,7443
0,1015499;anonymous;353;0,0002677024;1,600125;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6836;12,04003;-558,1442
0,1015499;anonymous;354;0,0002955126;1,850306;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.6953;12,04033;-556,2939
0,1015499;anonymous;355;0,000328936;2,322919;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7091;12,04066;-553,9709
0,1015499;anonymous;356;0,0003575975;3,351684;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7362;12,04101;-550,6193
0,4148678;anonymous;357;0,0001629781;3,73381;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7505;12,04118;-546,8854
0,433194;anonymous;358;0,0003395852;3,898746;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7643;12,04152;-542,9867
0,4259827;anonymous;359;0,0002951749;3,833845;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7777;12,04181;-539,1528
0,4169558;anonymous;360;0,0002639524;3,752602;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.7920;12,04208;-535,4002
0,4286565;anonymous;361;0,0003423156;3,857909;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8192;12,04242;-531,5423
0,4286565;anonymous;362;0,0002883251;3,971433;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8340;12,04271;-527,5709
0,4286565;anonymous;363;0,0003679598;4,119063;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8473;12,04307;-523,4518
0,4286565;anonymous;364;0,0004384755;4,345565;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8612;12,04351;-519,1062
0,4286565;anonymous;365;0,0003801918;4,513724;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8750;12,04389;-514,5925
0,4286565;anonymous;366;0,0003772941;4,527167;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.8914;12,04427;-510,0653
0,4286565;anonymous;367;0,0003772581;4,453828;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.9169;12,04465;-505,6115
