AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SewuenceID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
-0,2793037;anonymous;1298;0,001025018;-2,513733;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8667;12,37973;-1145,861
-0,2793037;anonymous;1299;0,0001224026;-2,251343;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8805;12,37985;-1148,113
-0,2793037;anonymous;1300;0,001136839;-1,708313;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.8961;12,38099;-1149,821
-0,2793037;anonymous;1301;0,0007975283;-0,8563843;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.9222;12,38179;-1150,677
-0,07543267;anonymous;1302;0,0004621455;-0,678894;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.9359;12,38225;-1151,356
-0,1288283;anonymous;1303;0,0001555893;-1,159454;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.9502;12,3824;-1152,516
-0,1573419;anonymous;1304;0,0001604747;-1,416077;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.9640;12,38256;-1153,932
-0,1573419;anonymous;1305;0,001403303;-1,957214;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:54.9795;12,38397;-1155,889
-0,1573419;anonymous;1306;0,0006428034;-1,977386;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:55.0059;12,38461;-1157,867
-0,1573419;anonymous;1307;9,642357E-05;-1,776825;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:55.0192;12,38471;-1159,643
-0,1573419;anonymous;1308;0,0004519108;-1,648315;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:55.0339;12,38516;-1161,292
-0,1573419;anonymous;1309;0,0002828852;-1,625946;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:55.0483;12,38544;-1162,918
-0,1573419;anonymous;1310;0,0002579655;-1,698486;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:55.0621;12,3857;-1164,616
